DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2020-09-17 04:08:42,20,6,87,825.833,4.74,3,29,87,0,4,6.833,565.667
2020-09-17 04:08:44,20,0,94,0,0,0,0,0,0,0,0,0
2020-09-17 04:08:46,20,0,82,0,0,0,0,0,0,0,0,0
2020-09-17 04:08:48,20,0,86,0,0,0,0,0,0,0,0,0
2020-09-17 04:08:50,20,0,70,0,0,0,0,0,0,0,0,0
2020-09-17 04:08:52,20,0,89,0,0,0,0,0,0,0,0,0
