DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2020-09-24 10:26:07,1,0,1496,0,0,0,0,0,0,0,0,0
2020-09-24 10:26:09,1,0,1263,0,0,0,0,0,0,0,0,0
2020-09-24 10:26:11,1,0,1162,0,0,0,0,0,0,0,0,0
2020-09-24 10:26:13,1,0,1753,0,0,0,0,0,0,0,0,0
2020-09-24 10:26:15,1,0,2621,0,0,0,0,0,0,0,0,0
2020-09-24 10:26:17,1,0,1542,0,0,0,0,0,0,0,0,0
