DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2020-09-17 10:09:40,10,399,0,41.346,50.15,199.5,162,32319,0,2.774,21.817,40.283
2020-09-17 10:09:42,10,704,0,34.615,43.786,352,162,57024,0,0.366,16.705,34.243
2020-09-17 10:09:44,10,576,0,32.658,37.474,288,162,46656,0,0.358,15.458,32.358
2020-09-17 10:09:46,10,560,0,35.841,44,280,162,45360,0,0.388,17.709,35.57
2020-09-17 10:09:48,10,551,0,35.015,43.863,275.5,162,44631,0,0.265,17.927,34.77
2020-09-17 10:09:50,10,592,0,34.662,54.45,296,162,47952,0,0.225,14.213,34.422
2020-09-17 10:09:52,10,597,0,33.054,42.366,298.5,162,48357,0,0.291,15.638,32.787
2020-09-17 10:09:54,10,620,0,31.932,42.304,310,162,50220,0,0.184,15.166,31.75
2020-09-17 10:09:56,10,531,0,31.081,38.216,265.5,162,43011,0,0.209,16.068,30.804
2020-09-17 10:09:58,10,682,0,29.07,37.209,341,162,55242,0,0.204,14.979,28.871
2020-09-17 10:10:00,10,650,0,35.095,45.218,325,162,52650,0,0.195,18.552,34.926
2020-09-17 10:10:02,10,582,0,34.433,43.862,291,162,47142,0,0.211,15.524,34.266
2020-09-17 10:10:04,10,581,0,34.136,42.604,290.5,162,47061,0,0.182,17.575,33.972
2020-09-17 10:10:06,10,586,0,32.473,37.991,293,162,47466,0,0.16,14.671,32.297
2020-09-17 10:10:08,10,615,0,32.933,42.792,307.5,162,49815,0,0.203,16.07,32.763
2020-09-17 10:10:10,10,606,0,32.525,42.655,303,162,49086,0,0.203,13.952,32.338
2020-09-17 10:10:12,10,615,0,32.828,41.926,307.5,162,49815,0,0.202,16.237,32.644
2020-09-17 10:10:14,10,573,0,34.541,43.726,286.5,162,46413,0,0.216,16.738,34.347
2020-09-17 10:10:16,10,595,0,33.119,43.087,297.5,162,48195,0,0.18,16.792,32.919
2020-09-17 10:10:18,10,587,0,31.131,38.578,293.5,162,47547,0,0.17,15.026,30.942
2020-09-17 10:10:20,10,569,0,35.831,44.289,284.5,162,46089,0,0.17,17.112,35.657
2020-09-17 10:10:22,10,573,0,34.248,43.603,286.5,162,46413,0,0.157,16.726,34.021
2020-09-17 10:10:24,10,612,0,33.518,56.416,306,162,49572,0,0.154,15.616,33.342
2020-09-17 10:10:26,10,515,0,34.344,40.572,257.5,162,41715,0,0.163,16.957,34.183
2020-09-17 10:10:28,10,592,0,33.454,43.156,296,162,47952,0,0.115,15.618,33.282
2020-09-17 10:10:30,10,558,0,34.79,44.631,279,162,45198,0,0.156,16.643,34.661
2020-09-17 10:10:32,10,591,0,33.313,43.444,295.5,162,47871,0,0.223,15.707,33.105
