DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2020-09-24 10:30:35,20,10,29,2993.2,630.198,5,29,145,0,0.2,3.8,1519.3
2020-09-24 10:30:38,20,0,64,0,0,0,0,0,0,0,0,0
2020-09-24 10:30:40,20,0,47,0,0,0,0,0,0,0,0,0
2020-09-24 10:30:42,20,0,73,0,0,0,0,0,0,0,0,0
2020-09-24 10:30:45,20,0,45,0,0,0,0,0,0,0,0,0
2020-09-24 10:30:50,20,0,64,0,0,0,0,0,0,0,0,0
