DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2020-09-11 06:08:30,10,72,0,371.625,103.206,36,0,0,0,12.319,84.361,363.542
2020-09-11 06:08:32,10,56,0,377.357,181.084,28,0,0,0,1.768,94.304,376.411
2020-09-11 06:08:34,10,68,0,304.912,149.523,34,0,0,0,0.279,79.779,304.147
2020-09-11 06:08:36,10,49,0,371.633,146.735,24.5,0,0,0,0.286,79.49,370.796
2020-09-11 06:08:38,10,56,0,363.982,233.518,28,0,0,0,0.232,103.929,363.429
2020-09-11 06:08:40,10,54,0,381.111,147.748,27,0,0,0,0.352,101.685,380.519
2020-09-11 06:08:42,10,44,0,423.477,122.16,22,0,0,0,0.295,89.795,422.841
2020-09-11 06:08:44,10,47,0,445.277,283.111,23.5,0,0,0,0.255,150.021,444.872
2020-09-11 06:08:46,10,54,0,390.278,161.907,27,0,0,0,0.648,105.037,389.907
2020-09-11 06:08:48,10,67,0,287.716,32.409,33.5,0,0,0,0.239,65.881,287.194
2020-09-11 06:08:50,10,51,0,367.235,158.241,25.5,0,0,0,0.078,101.667,366.706
2020-09-11 06:08:52,10,47,0,440.043,206.242,23.5,0,0,0,0.085,85.106,439.532
