DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2020-09-17 10:04:43,20,2,83,614,10,1,29,29,0,0,4,321
2020-09-17 10:04:45,20,0,80,0,0,0,0,0,0,0,0,0
2020-09-17 10:04:47,20,0,78,0,0,0,0,0,0,0,0,0
2020-09-17 10:04:49,20,0,101,0,0,0,0,0,0,0,0,0
2020-09-17 10:04:52,20,0,76,0,0,0,0,0,0,0,0,0
2020-09-17 10:04:54,20,0,62,0,0,0,0,0,0,0,0,0
