DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2020-09-17 03:36:54,20,666,0,50.89,31.609,333,1606,534798,0,1.691,5.456,45.266
2020-09-17 03:36:56,20,1220,0,37.133,22.588,610,1606,979660,0,0.33,3.43,35.482
2020-09-17 03:36:58,20,1039,0,36.551,22.406,519.5,1606,834317,0,0.224,2.945,35.462
2020-09-17 03:37:00,20,1480,0,25.252,16.341,740,1606,1188440,0,0.328,2.839,24.118
2020-09-17 03:37:02,20,1231,0,30.062,23.224,615.5,1606,988493,0,0.141,2.829,28.972
2020-09-17 03:37:05,20,1472,0,25.228,16.74,736,1606,1182016,0,0.094,2.731,24.209
2020-09-17 03:37:07,20,1698,0,22.112,13.14,849,1606,1363494,0,0.376,3.237,20.833
2020-09-17 03:37:09,20,1518,0,24.072,15.349,759,1606,1218954,0,0.375,4.093,22.684
2020-09-17 03:37:11,20,923,0,40.983,28.179,461.5,1606,741169,0,0.193,3.23,39.689
2020-09-17 03:37:13,20,1539,0,24.034,16.273,769.5,1606,1235817,0,0.185,3.262,23.051
2020-09-17 03:37:15,20,1267,0,30.217,20.811,633.5,1606,1017401,0,0.122,2.245,29.207
2020-09-17 03:37:17,20,1674,0,22.326,15.114,837,1606,1344222,0,0.251,2.709,21.367
2020-09-17 03:37:19,20,566,1323,18.534,11.128,283,1606,454498,0,0.088,2.793,17.742
2020-09-17 03:37:21,20,0,1982,0,0,0,0,0,0,0,0,0
2020-09-17 03:37:23,20,0,2331,0,0,0,0,0,0,0,0,0
2020-09-17 03:37:25,20,0,2289,0,0,0,0,0,0,0,0,0
2020-09-17 03:37:27,20,0,2525,0,0,0,0,0,0,0,0,0
2020-09-17 03:37:29,20,0,2434,0,0,0,0,0,0,0,0,0
2020-09-17 03:37:31,20,5,2389,50.6,0.8,2.5,1606,4015,0,0.2,25,49.6
2020-09-17 03:37:33,20,0,2521,0,0,0,0,0,0,0,0,0
2020-09-17 03:37:35,20,0,2391,0,0,0,0,0,0,0,0,0
2020-09-17 03:37:37,20,0,2254,0,0,0,0,0,0,0,0,0
2020-09-17 03:37:39,20,0,2442,0,0,0,0,0,0,0,0,0
2020-09-17 03:37:41,20,0,70,0,0,0,0,0,0,0,0,0
2020-09-17 03:37:43,20,1209,2,59.138,285.824,604.5,1606,970827,0,0.067,41.644,58.268
