DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2020-09-24 11:05:46,20,0,35,0,0,0,0,0,0,0,0,0
2020-09-24 11:05:49,20,0,83,0,0,0,0,0,0,0,0,0
2020-09-24 11:05:51,20,0,57,0,0,0,0,0,0,0,0,0
2020-09-24 11:05:53,20,0,56,0,0,0,0,0,0,0,0,0
2020-09-24 11:05:55,20,0,58,0,0,0,0,0,0,0,0,0
2020-09-24 11:05:57,20,0,60,0,0,0,0,0,0,0,0,0
